Año,Meses,ID Kiosco VD,Departamento,Municipio,Edad,Grupo étnico,Nivel de estudios,Género,Estrato,Habita en sector,Ocupacion,Situación Particular,Nota Final Examen,Curso,Certificado ,Fecha Inscripción,Fecha Certificado
2016,Abril,Ciudadano,Meta,Acacías,De 18 a 25,Ninguno,Técnico,Masculino,2,Urbano,Estudiante,Ninguna de las anteriores,90,Activismo Digital,SI,28/04/2016,"jueves, 1 de septiembre de 2016, 13:44"
2017,Agosto,Ciudadano,"Bogotá, D.C.",Bogotá,De 26 a 45,Ninguno,Profesional,Masculino,3,Urbano,Empleado,Ninguna de las anteriores,0,Uso Responsable de las TIC 0 En TIC Confío,NO,02/08/2017 12:25:41 p. m.,No ha sido descargado
2017,Julio,Ciudadano,Cundinamarca,La Calera,De 26 a 45,Ninguno,Profesional,Masculino,2,Urbano,Docente,Ninguna de las anteriores,0,Inclusión para Personas con Discapacidad a través de las TIC,NO,18/07/2017,No ha sido descargado
2016,Mayo,Ciudadano,Tolima,Ibagué,De 26 a 45,Ninguno,Postgrado,Femenino,3,Urbano,Funcionario Público,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,06/05/2016,No ha sido descargado
2016,Septiembre,Ciudadano,Antioquia,Medellín,De 26 a 45,Ninguno,Técnico,Femenino,2,Urbano,Juntas De Acción Comunal,Ninguna de las anteriores,90,Formación a Formadores en Alfabetización Digital,SI,08/09/2016,No ha sido descargado
2016,Octubre,Ciudadano,Boyacá,Sotaquira,De 14 a 17,Ninguno,Bachillerato completo,Femenino,2,Rural,Estudiante,Ninguna de las anteriores,90,Mujeres y TIC,SI,25/10/2016,No ha sido descargado
2017,Junio,Ciudadano,Meta,Acacías,De 26 a 45,Ninguno,Profesional,Masculino,3,Urbano,Funcionario Público,Ninguna de las anteriores,100,Atención y Reparación Integral de Víctimas del Conflicto Armado,SI,27/06/2017,No ha sido descargado
2016,Agosto,Ciudadano,Cundinamarca,Viani,De 26 a 45,Ninguno,Profesional,Femenino,2,Urbano,Funcionario Público,Ninguna de las anteriores,0,Uso Responsable de las TIC 0 En TIC Confío,NO,29/08/2016,No ha sido descargado
2016,Octubre,Ciudadano,Tolima,San Sebastian De Mariquita,De 46 a 59,Ninguno,Profesional,Masculino,1,Rural,Docente,Ninguna de las anteriores,80,Atención y Reparación Integral de Víctimas del Conflicto Armado,SI,19/10/2016,No ha sido descargado
2016,Junio,Ciudadano,"Bogotá, D.C.","Bogotá, D.C.",De 14 a 17,Ninguno,Bachillerato completo,Femenino,2,Urbano,Estudiante,Ninguna de las anteriores,100,Activismo Digital,SI,07/06/2016,"martes, 11 de octubre de 2016, 22:35"
2016,Agosto,Ciudadano,Quindío,Quimbaya,De 26 a 45,Ninguno,Técnico,Masculino,2,Urbano,Funcionario Público,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,08/08/2016,No ha sido descargado
2016,Septiembre,Ciudadano,Quindío,Armenia,De 18 a 25,Ninguno,Postgrado,Femenino,3,Urbano,Estudiante,Ninguna de las anteriores,0,Atención y Reparación Integral de Víctimas del Conflicto Armado,NO,20/09/2016,No ha sido descargado
2016,Agosto,Ciudadano,Meta,Villavicencio,De 18 a 25,Ninguno,Bachillerato completo,Masculino,2,Urbano,Estudiante,Ninguna de las anteriores,0,Activismo Digital,NO,19/08/2016,No ha sido descargado
2016,Agosto,Ciudadano,Norte De Santander,Ocaña,De 26 a 45,Ninguno,Profesional,Femenino,2,Urbano,Desempleado,Cabeza de hogar,0,Formación a Formadores en Alfabetización Digital,NO,07/08/2016,No ha sido descargado
2016,Julio,Ciudadano,Meta,San Bernardo Del Viento,De 26 a 45,Ninguno,Postgrado,Femenino,1,Urbano,Estudiante,Ninguna de las anteriores,100,Uso Responsable de las TIC 0 En TIC Confío,SI,06/07/2016,No ha sido descargado
2017,Julio,Ciudadano,Nariño,Ipiales,De 26 a 45,Ninguno,Técnico,Masculino,3,Urbano,Independiente,Ninguna de las anteriores,0,Apropiación Social de las TIC,NO,11/07/2017,No ha sido descargado
2016,Julio,Ciudadano,Huila,San Agustin,De 26 a 45,Ninguno,Profesional,Masculino,1,Urbano,Estudiante,Persona afectada por desastres naturales,0,Formación a Formadores en Alfabetización Digital,NO,17/07/2016,No ha sido descargado
